ESTDate,EST Time,SiteID,Temperature_C,Salinity,TA,DIC,Aragonite_Sat_W,pCO2,pH
8/5/11,1:35 AM,DT11,31,35.74,2394.06,1985.505,4.7,345.3,8.098
8/7/11,3:00 PM,MR7,30.62,34.9,2390.71,1970.575,4.86,315.9,8.131
8/4/11,11:51 PM,DT9,31.41,35.42,2416.21,1994.315,4.89,336.2,8.111
10/14/11,,,,33.3,9.61,26.12,,,
8/7/11,12:30 AM,MR4,31,35.38,2383.26,1966.565,4.8,327,8.116
8/7/11,2:21 AM,MR5,31.01,34.89,2397.91,1987.64,4.77,336.4,8.111
10/17/11,,,,33.3,18.66,25.71,,,
8/7/11,4:43 AM,MR6,30.66,35.11,2378.31,1965.02,4.76,323.4,8.121
10/20/11,,,,33.3,31.76,,,,
8/7/11,12:04 PM,6.5,30.52,36.38,2399.76,1983.49,4.73,335.6,8.107
8/7/11,11:38 AM,6,30.66,35.66,2389.11,1986.24,4.63,346.5,8.097
10/21/11,,,,33.3,42.86,16.44,,,
8/4/11,1:00 AM,22,31.28,35.97,2396.51,1948.765,5.11,299.6,8.144
11/9/12,,,,33.21,5.41,-0.178334,,,
n/a,,WS cruise,,35.46,2431.76,2088.052961,,,
n/a,,,,35.1,2471.21,2135.068063,,,
n/a,,,,34.44,2532.36,2204.90739,,,
n/a,,,,33.61,2608.26,2270.102462,,,
n/a,,,,33.01,2702.91,2374.727544,,,
n/a,,,,36.49,2394.91,2027.567713,,,
n/a,,,,36.26,2377.06,2013.99293,,,
n/a,,,,34.92,2553.06,2226.596987,,,
11/12/12,,,,33.21,12.21,,,,
n/a,,,,33.23,2767.26,2475.65762,,,
n/a,,,,36.13,2357.61,2028.876538,,,
n/a,,,,35.4,2490.11,2164.294327,,,
11/14/12,,,,33.21,6.46,,,,
n/a,,,,33.17,2715.21,2439.759452,,,
n/a,,,,32.27,2931.96,2712.298825,,,
n/a,,,,36.17,2388.41,2031.210673,,,
n/a,,,,35.93,2284.46,2019.375378,,,
n/a,,,,35.61,2349.41,1999.655628,,,
11/16/12,,,,33.21,10.26,,,,
n/a,,,,35.77,2381.56,2037.854083,,,
