,,,,,,,,,,,,,ALKALINITY DATA,,,,,,,,,,,,,,,,,DIC DATA,,,,,,,,,,,,,CALCULATED DATA (from DIC and TA),,,,
6507,24H,3/17/2016,6:55 PM,March 2016 Walt Smith,,54b,26.141,27.375,,,1.01594692796253,,3/30/2016,Apollo 2,CRM150,2214.71,1.5,23.8,1.017939125,3325.7,3324.2,3324.95,3266.35445934745,3276.87414168906,8.01,8.002,8.006,,,3/25/2016,Apollo,CRM 150,2017.88,24.9,1.017621661,-5.0,3078.1,3083.1,3080.60,3027.254742,3026.596153,,,,,,
6508,1NN,3/14/2016,12:44 PM,March 2016 Walt Smith,,1,24.479,34.502,,,1.01230475856898,,3/30/2016,Apollo 2,CRM150,2214.71,-2.29999999999973,24.8,1.023027236,2547.8,2550.1,2548.95,2491.57589279436,2502.09557513597,8.168,8.177,8.1725,,,3/25/2016,Apollo,CRM 150,2017.88,24.8,1.023027236,1.8,2217,2215.2,2216.10,2166.217986,2165.559398,,,,,,
6509,2NN,3/14/2016,1:02 PM,March 2016 Walt Smith,,2,24.117,36.288,,,1.01137861765512,,3/30/2016,Apollo 2,CRM150,2214.71,0.599999999999909,24.7,1.024408181,2474.2,2473.6,2473.9,2414.95533325721,2425.47501559882,8.18,8.163,8.1715,,,3/25/2016,Apollo,CRM 150,2017.88,24.6,1.024438469,2.2,2138,2135.8,2136.90,2085.923229,2085.264640,,,,,,
6510,3NN,3/14/2016,1:19 PM,March 2016 Walt Smith,,3,24.444,36.342,,,1.01160006582783,,3/30/2016,Apollo 2,CRM150,2214.71,0,25,1.024357694,2442.1,2442.1,2442.1,2384.03051532432,2394.55019766593,8.17,8.158,8.164,,,3/25/2016,Apollo,CRM 150,2017.88,24.5,1.024509558,-1.1,2100,2101.1,2100.55,2050.298100,2049.639511,,,,,,
6511,4NN,3/14/2016,4:16 PM,March 2016 Walt Smith,,EK_IN,24.616,35.391,,,1.01208109717926,,3/30/2016,Apollo 2,CRM150,2214.71,2.40000000000009,25,1.023638597,2553.5,2551.1,2552,2493.36045634402,2503.88013868563,8.175,8.168,8.1715,,,3/25/2016,Apollo,CRM 150,2017.88,25,1.023638597,-2.6,2199.2,2201.8,2200.50,2149.684474,2149.025886,,,,,,
6512,5NN,3/14/2016,4:32 PM,March 2016 Walt Smith,,EK_MID,24.585,36.422,,,1.01167423957415,,3/30/2016,Apollo 2,CRM150,2214.71,2.09999999999991,25,1.024418204,2445.9,2443.8,2444.85,2386.57414672073,2397.09382906234,8.158,8.166,8.162,,,3/25/2016,Apollo,CRM 150,2017.88,24.9,1.024448742,0.1,2096.6,2096.5,2096.55,2046.515277,2045.856688,,,,,,
6513,6NN,3/14/2016,4:48 PM,March 2016 Walt Smith,,EK_OFF,24.273,36.426,,,1.0114421463946,,3/30/2016,Apollo 2,CRM150,2214.71,-3.80000000000018,24.9,1.024451768,2446.1,2449.9,2448,2389.5707703543,2400.09045269591,8.19,8.171,8.1805,,,3/25/2016,Apollo,CRM 150,2017.88,24.9,1.024451768,1.6,2096.8,2095.2,2096.00,2045.972359,2045.313770,,,,,,
6514,7NN,3/14/2016,7:06 PM,March 2016 Walt Smith,,4,25.088,35.921,,,1.01223375780064,,3/30/2016,Apollo 2,CRM150,2214.71,-5.5,25,1.024039306,2522.1,2527.6,2524.85,2465.57918665087,2476.09886899248,8.153,8.166,8.1595,,,3/25/2016,Apollo,CRM 150,2017.88,25,1.024039306,-2.2,2182.7,2184.9,2183.80,2132.535330,2131.876741,,,,,,
6515,CRM150 - TA,,,,,,,33.4,,,,,3/31/2016,Apollo 2,CRM150,2214.71,4.19999999999982,24.9,1.022164522,2264.2,2260,2262.1,2213.04883134803,1.66116865196682,8.028,8.025,8.0265,,,,,,,,,,,,,,,,,,,,
6516,8NN,3/14/2016,7:18 PM,March 2016 Walt Smith,,5,24.82,36.443,,,1.01184004330414,,3/31/2016,Apollo 2,CRM150,2214.71,-4.19999999999982,24.9,1.024464629,2453,2457.2,2455.1,2396.47122114998,2398.13238980194,8.224,8.223,8.2235,,,3/25/2016,Apollo,CRM 150,2017.88,24.7,1.024525479,3.1,2097.2,2094.1,2095.65,2045.483537,2044.824948,,,,,,
6517,9NN,3/14/2016,7:31 PM,March 2016 Walt Smith,,5.5,24.766,36.423,,,1.01180765045076,,3/31/2016,Apollo 2,CRM150,2214.71,-0.900000000000091,24.9,1.024449498,2444.6,2445.5,2445,2386.69646888709,2388.35763753906,8.229,8.228,8.2285,,,3/25/2016,Apollo,CRM 150,2017.88,24.6,1.024540649,1.8,2086.2,2084.4,2085.30,2035.351161,2034.692573,,,,,,
6518,CRM150,,,,,,,33.4,,,,,3/31/2016,Apollo 2,CRM150,2214.71,4.19999999999982,24.9,1.022164522,2264.2,2260,2262.10,2213.04883134803,1.66116865196682,8.028,8.025,8.0265,,,3/29/2016,Apollo,CRM 150,2017.88,24,1.022432266,-3.1,2061.1,2064.2,2062.65,2017.395254,0.484746,,,,,,
6519,10NN,3/14/2016,7:41 PM,March 2016 Walt Smith,,6,24.38,36.417,,,1.01152460451194,,3/31/2016,Apollo 2,CRM150,2214.71,0.899999999999636,24.9,1.024444959,2449.2,2448.3,2448.75,2390.31875576527,2391.97992441724,8.212,8.21,8.211,,,3/29/2016,Apollo,CRM 150,2017.88,24.2,1.024656552,0.2,2114.4,2114.2,2114.30,2063.423102,2063.907848,,,,,,
6520,11NN,3/14/2016,7:56 PM,March 2016 Walt Smith,,6.5,24.71,36.426,,,1.01176512862958,,3/31/2016,Apollo 2,CRM150,2214.71,-2.59999999999991,24.9,1.024451768,2446.4,2449,2447.7,2389.27793079911,2390.93909945107,8.214,8.212,8.213,,,3/29/2016,Apollo,CRM 150,2017.88,21.3,1.025498805,0.4,2109.1,2108.7,2108.90,2056.462660,2056.947406,,,,,,
6521,12NN,3/14/2016,9:13 PM,March 2016 Walt Smith,,MR,23.996,36.439,,,1.01123257035162,,3/31/2016,Apollo 2,CRM150,2214.71,4.79999999999973,24.9,1.024461603,2447.1,2442.3,2444.7,2386.32662622414,2387.98779487611,8.214,8.21,8.212,,,3/29/2016,Apollo,CRM 150,2017.88,24.3,1.024643218,1.3,2112.7,2111.4,2112.05,2061.254066,2061.738812,,,,,,
6522,13NN,3/15/2016,12:06 AM,March 2016 Walt Smith,,UK_OFF,24.558,36.421,,,1.01165465920474,,3/31/2016,Apollo 2,CRM150,2214.71,2.40000000000009,24.7,1.024508829,2443.9,2441.5,2442.7,2384.26446902311,2385.92563767508,8.226,8.226,8.226,,,3/29/2016,Apollo,CRM 150,2017.88,24.3,1.024629587,1.3,2100.8,2099.5,2100.15,2049.667536,2050.152282,,,,,,
6523,14NN,3/15/2016,12:18 AM,March 2016 Walt Smith,,UK_MID,24.72,36.383,,,1.01178868372791,,3/31/2016,Apollo 2,CRM150,2214.71,-1.39999999999964,24.7,1.024480072,2444.8,2446.2,2446,2387.06448976362,2388.72565841559,8.21,8.207,8.2085,,,3/29/2016,Apollo,CRM 150,2017.88,24.7,1.024480072,-1.0,2112.4,2113.4,2112.90,2062.412006,2062.896752,,,,,,
6524,15NN,3/15/2016,12:27 AM,March 2016 Walt Smith,,UK_IN,24.727,36.136,,,1.01188646240055,,3/31/2016,Apollo 2,CRM150,2214.71,-1.5,24.7,1.024293164,2522.9,2524.4,2523.65,2463.79658601132,2465.45775466328,8.224,8.224,8.224,,,3/29/2016,Apollo,CRM 150,2017.88,25,1.024201893,0.7,2179.6,2178.9,2179.25,2127.754317,2128.239063,,,,,,
6525,16NN,3/15/2016,2:03 AM,March 2016 Walt Smith,,7,25.714,36.735,,,1.0123906235636,,3/31/2016,Apollo 2,CRM150,2214.71,1.90000000000009,24.7,1.024746482,2488.3,2486.4,2487.35,2427.28327919668,2428.94444784865,8.193,8.19,8.1915,,,3/29/2016,Apollo,CRM 150,2017.88,25,1.024654976,0.3,2153.6,2153.3,2153.45,2101.634257,2102.119003,,,,,,
6526,CRM150 - TA,,,,,,,33.4,,,,,4/1/2016,Apollo 2,CRM150,2214.71,-0.300000000000182,24.7,1.022224573,2261,2261.3,2261.15,2211.98947885515,2.72052114484677,8.002,8.006,8.004,,,,,,,,,,,,,,,,,,,,
6527,17NN,3/15/2016,2:36 AM,March 2016 Walt Smith,,8,24.827,36.463,,,1.01183769121549,,4/1/2016,Apollo 2,CRM150,2214.71,-2.20000000000027,24.6,1.024570926,2445.7,2447.9,2446.8,2388.12163972924,2390.84216087408,8.165,8.168,8.1665,,,3/29/2016,Apollo,CRM 150,2017.88,24.1,1.024721317,0.6,2119.3,2118.7,2119.00,2067.879301,2068.364047,,,,,,
6528,18NN,3/15/2016,2:46 AM,March 2016 Walt Smith,,9,24.74,36.431,,,1.01178542327085,,4/1/2016,Apollo 2,CRM150,2214.71,0.399999999999636,24.6,1.024546704,2437.2,2436.8,2437,2378.61289244288,2381.33341358772,8.182,8.182,8.182,,,3/29/2016,Apollo,CRM 150,2017.88,24.9,1.024455550,-1.4,2095.5,2096.9,2096.20,2046.160030,2046.644776,,,,,,
6529,19NN,3/15/2016,3:26 AM,March 2016 Walt Smith,,9.5,26.321,36.291,,,1.0130072590755,,4/1/2016,Apollo 2,CRM150,2214.71,-0.799999999999727,24.7,1.024410451,2424.4,2425.2,2425,2367.01997460728,2369.74049575212,8.187,8.191,8.189,,,3/29/2016,Apollo,CRM 150,2017.88,24.9,1.024349641,-3.8,2082.6,2086.4,2084.50,2034.949705,2035.434451,,,,,,
6530,20NN,3/15/2016,4:52 AM,March 2016 Walt Smith,,12,25.123,36.383,,,1.01208661025981,,4/1/2016,Apollo 2,CRM150,2214.71,-2.70000000000027,24.7,1.024480072,2435.7,2438.4,2437.05,2378.81640350784,2381.53692465269,8.18,8.182,8.181,,,3/29/2016,Apollo,CRM 150,2017.88,24.9,1.024419238,-0.2,2098.5,2098.7,2098.60,2048.575352,2049.060098,,,,,,
6531,21NN,3/15/2016,5:21 AM,March 2016 Walt Smith,,11,25.442,36.458,,,1.0122942279911,,4/1/2016,Apollo 2,CRM150,2214.71,-0.099999999999909,24.7,1.024536831,2471,2471.1,2471.05,2411.87034573867,2414.59086688352,8.191,8.192,8.1915,,,3/29/2016,Apollo,CRM 150,2017.88,24.2,1.024687607,1.7,2120.4,2118.7,2119.55,2068.484077,2068.968824,,,,,,
6532,22NN,3/15/2016,5:40 AM,March 2016 Walt Smith,,10,26.249,36.232,,,1.01297619391927,,4/1/2016,Apollo 2,CRM150,2214.71,0,24.7,1.024365805,2498.2,2498.2,2498.2,2438.7772295582,2441.49775070305,8.211,8.211,8.211,,,3/29/2016,Apollo,CRM 150,2017.88,24.2,1.024516432,-0.1,2132.9,2133,2132.95,2081.909019,2082.393765,,,,,,
6533,23NN,3/15/2016,7:05 AM,March 2016 Walt Smith,,13,26.005,35.866,,,1.01293279835745,,4/1/2016,Apollo 2,CRM150,2214.71,0.600000000000364,24.9,1.024028183,2530.3,2529.7,2530,2470.63512634227,2473.35564748712,8.197,8.197,8.197,,,3/29/2016,Apollo,CRM 150,2017.88,24.9,1.024028183,0.4,2169.6,2169.2,2169.40,2118.496381,2118.981127,,,,,,
6534,24NN,3/15/2016,7:17 AM,March 2016 Walt Smith,,14,24.639,36.419,,,1.01171528055726,,4/1/2016,Apollo 2,CRM150,2214.71,2.5,24.9,1.024446472,2447.7,2445.2,2446.45,2388.07011055377,2390.79063169862,8.163,8.16,8.1615,,,3/29/2016,Apollo,CRM 150,2017.88,24.9,1.024446472,3.3,2119.6,2116.3,2117.95,2067.409140,2067.893886,,,,,,
6685,CRM - TA,,,,,,,33.40,,,,,6/24/2016,Apollo 2,CRM150,2214.71,4.40000000000009,24.25,1.02235853498218,2268.5,2264.1,2266.3,2216.73700805902,-2.02700805901713,7.998,7.986,7.992,,,,,,,,,,,,,,,,,,,,
6686,1U,5/10/2016,7:46 AM,Walton Smith,,15,26.170,36.452,0,,1.01283485401244,,6/24/2016,Apollo 2,CRM150,2214.71,4.59999999999991,24.3,1.02465306363521,2437.1,2432.5,2434.8,2376.21892366372,2374.19191560471,8.187,8.185,8.186,,,6/17/2016,Apollo,CRM 150,2017.88,24.7,1.024532290,-0.3,2100.3,2100.6,2100.45,2050.155003,#REF!,,,,,,
6687,2U,5/10/2016,8:16 AM,Walton Smith,,15.5,25.832,36.405,0,,1.0126025978207,,6/24/2016,Apollo 2,CRM150,2214.71,0.099999999999909,24.3,1.02461746978627,2444.6,2444.5,2444.55,2385.81721675107,2383.79020869205,8.185,8.192,8.1885,,,6/17/2016,Apollo,CRM 150,2017.88,24.8,1.024466340,0.8,2111.9,2111.1,2111.50,2061.073086,#REF!,,,,,,
6688,3U,5/10/2016,9:35 AM,Walton Smith,,18,26.100,36.464,0,,1.01277855018181,,6/24/2016,Apollo 2,CRM150,2214.71,5,24.15,1.024707123,2428.9,2423.9,2426.40,2367.89609974113,2365.86909168211,8.184,8.187,8.1855,,,6/17/2016,Apollo,CRM 150,2017.88,24.9,1.024480516,-1.3,2095.0,2096.3,2095.65,2045.573310,#REF!,,,,,,
6689,4U,5/10/2016,10:02 AM,Walton Smith,,17,25.678,36.670,0,,1.01238863116188,,6/24/2016,Apollo 2,CRM150,2214.71,4,24.3,1.024818171,2253.7,2249.7,2251.70,2197.17025229829,2195.14324423928,8.223,8.22,8.2215,,,6/17/2016,Apollo,CRM 150,2017.88,24.9,1.024636373,2.4,1908.1,1905.7,1906.90,1861.050466,#REF!,,,,,,
6690,5U,5/10/2016,10:25 AM,Walton Smith,,16,26.100,36.464,0,,1.01277855018181,,6/24/2016,Apollo 2,CRM150,2214.71,-3.30000000000018,24.35,1.024647122,2170.5,2173.8,2172.15,2119.9005522192,2117.87354416018,8.288,8.288,8.288,,,6/17/2016,Apollo,CRM 150,2017.88,24.9,1.024480516,0.5,1794.5,1794.0,1794.25,1751.375426,#REF!,,,,,,
6691,6U,5/10/2016,12:00 PM,Walton Smith,,19,25.490,36.742,0,,1.01222239364548,,6/24/2016,Apollo 2,CRM150,2214.71,-2.70000000000027,24.25,1.02488773536999,2268.7,2271.4,2270.05,2214.92551979901,2212.89851174,8.235,8.23,8.2325,,,6/17/2016,Apollo,CRM 150,2017.88,24.9,1.02469085185825,1.0,1909.8,1908.8,1909.3,1863.29369149489,#REF!,,,,,,
6692,7U,5/10/2016,12:18 PM,Walton Smith,,20,25.750,36.586,0,,1.01247363903878,,6/24/2016,Apollo 2,CRM150,2214.71,-4.09999999999991,24.15,1.02479954515455,2327.0,2331.1,2329.05,2272.68836233602,2270.661354277,8.209,8.204,8.2065,,,6/17/2016,Apollo,CRM 150,2017.88,24.9,1.024572817,1.0,1989.7,1988.7,1989.20,1941.492070,#REF!,,,,,,
6693,8U,5/10/2016,1:10 PM,Walton Smith,,21/LK,26.206,36.478,0,,1.01285166257657,,6/24/2016,Apollo 2,CRM150,2214.71,0.299999999999727,24.4,1.02464267400516,2438.6,2438.3,2438.45,2379.80523538854,2377.77822732952,8.187,8.187,8.187,,,6/17/2016,Apollo,CRM 150,2017.88,24.9,1.024491108,-1.3,2105.5,2106.8,2106.15,2055.801153,#REF!,,,,,,
6694,9U,5/10/2016,1:59 PM,Walton Smith,,21.5,26.476,36.358,0,,1.01309668319676,,6/24/2016,Apollo 2,CRM150,2214.71,3.09999999999991,24.5,1.024521670,2444.0,2440.9,2442.45,2383.99056911371,2381.9635610547,8.197,8.187,8.192,,,6/17/2016,Apollo,CRM 150,2017.88,25.0,1.024369795,-2.0,2102.2,2104.2,2103.20,2053.164794,#REF!,,,,,,
6695,10U,5/10/2016,4:06 PM,Walton Smith,,WS,26.287,36.493,0,,1.01290590582497,,6/24/2016,Apollo 2,CRM150,2214.71,0.700000000000273,24.4,1.024654032,2439.8,2439.1,2439.45,2380.75479478934,2378.72778673032,8.189,8.191,8.19,,,6/17/2016,Apollo,CRM 150,2017.88,24.8,1.024532926,0.6,2106.4,2105.8,2106.10,2055.668438,#REF!,,,,,,
6696,11U,5/10/2016,5:31 PM,Walton Smith,,22.5,26.234,36.380,0,,1.01290935983722,,6/24/2016,Apollo 2,CRM150,2214.71,0.599999999999909,24.45,1.024553407,2444.7,2444.1,2444.40,2385.81999029646,2383.79298223744,8.196,8.194,8.195,,,6/17/2016,Apollo,CRM 150,2017.88,24.9,1.024416968,0.1,2107.0,2106.9,2106.95,2056.730868,#REF!,,,,,,
6697,12U,5/10/2016,5:57 PM,Walton Smith,,22,26.216,36.454,0,,1.01286812262891,,6/24/2016,Apollo 2,CRM150,2214.71,4.80000000000018,24.55,1.02457923970055,2438.8,2434.0,2436.4,2377.95175384588,2375.92474578686,8.182,8.185,8.1835,,,6/17/2016,Apollo,CRM 150,2017.88,24.9,1.024472951,1.4,2103.4,2102.0,2102.7,2052.47000284639,#REF!,,,,,,
6698,CRM150 - DIC,,,,,,,33.40,,,,,,,,,,,,,,,,,,,,,,6/23/2016,Apollo,CRM 150,2017.88,23.8,1.022490892,-1.9,2064.0,2065.9,2064.95,2019.528991,-1.648991,,,,,,
6699,13U,5/10/2016,6:11 PM,Walton Smith,,23,26.399,36.635,0,,1.01293500406492,,6/24/2016,Apollo 2,CRM150,2214.71,-0.5,24.3,1.024791662,2414.6,2415.1,2414.85,2356.43017999206,2354.40317193304,8.191,8.191,8.191,,,6/23/2016,Apollo,CRM 150,2017.88,24.9,1.024609891,-0.9,2076.6,2077.5,2077.05,2027.161769,2025.512778,,,,,,
6700,CRM150 - TA,,,,,,,33.40,,,,,6/27/2016,Apollo 2,CRM150,2214.71,-4.90000000000009,24.65,1.02223953639155,2250.2,2255.1,2252.65,2203.64202303476,11.0679769652352,8.012,7.999,8.0055,,,,,,,,,,,,,,,,,,,,
6701,14U,5/10/2016,6:30 PM,Walton Smith,,24,26.339,37.019,0,,1.01274464131767,,6/27/2016,Apollo 2,CRM150,2214.71,2.80000000000018,24.85,1.02491574439518,2316.3,2313.5,2314.9,2258.62468467206,2269.6926616373,8.24,8.235,8.2375,,,6/23/2016,Apollo,CRM 150,2017.88,24.9,1.024900465,1.4,1962.0,1960.6,1961.30,1913.649243,1912.000252,,,,,,
6702,15U,5/11/2016,8:13 AM,Walton Smith,,57.3,25.954,35.494,0,,1.01303346977371,,6/27/2016,Apollo 2,CRM150,2214.71,3.89999999999964,24.55,1.02385272639262,2466.2,2462.3,2464.25,2406.84029692667,2417.90827389191,8.105,8.103,8.104,,,6/23/2016,Apollo,CRM 150,2017.88,24.6,1.023837664,-1.3,2188.2,2189.5,2188.85,2137.887751,2136.238759,,,,,,
6703,16U,5/11/2016,9:34 AM,Walton Smith,,57.2,25.890,35.361,0,,1.01303533197328,,6/27/2016,Apollo 2,CRM150,2214.71,2.09999999999991,25.2,1.023554887,2365.1,2363.0,2364.05,2309.64653683321,2320.71451379844,8.1,8.09,8.095,,,6/23/2016,Apollo,CRM 150,2017.88,24.6,1.023737052,3.7,2099.0,2095.3,2097.15,2048.52407756229,2046.875086,,,,,,
6704,17U,5/11/2016,10:47 AM,Walton Smith,,57.1,25.771,34.378,0,,1.01330730816007,,6/27/2016,Apollo 2,CRM150,2214.71,-2.69999999999982,24.8,1.022933519,2583.4,2586.1,2584.75,2526.8015496493,2537.86952661453,8.206,8.199,8.2025,,,6/26/2016,Apollo,CRM 150,2017.88,24.7,1.022963634,-2.6,2250.8,2253.4,2252.10,2201.544538,2199.895546,,,,,,
6705,18U,5/11/2016,11:39 AM,Walton Smith,,57,25.671,33.377,0,,1.01359279739274,,6/27/2016,Apollo 2,CRM150,2214.71,-3.19999999999982,24.9,1.022147152,2746.4,2749.6,2748,2688.45830590883,2699.52628287407,8.223,8.225,8.224,,,6/23/2016,Apollo,CRM 150,2017.88,24.6,1.022237101,-0.5,2385.1,2385.6,2385.35,2333.460600,2331.811609,,,,,,
6706,19U,5/11/2016,12:17 PM,Walton Smith,,56,25.467,32.352,0,,1.0138019823313,,6/27/2016,Apollo 2,CRM150,2214.71,3.70000000000027,24.9,1.02137328471124,2908.3,2904.6,2906.45,2845.62954945674,2856.69752642198,8.19,8.19,8.19,,,6/23/2016,Apollo,CRM 150,2017.88,24.8,1.021403212,-2.6,2793.5,2796.1,2794.80,2736.235767,2734.586775,,,,,,
6707,20U,5/11/2016,1:02 PM,Walton Smith,,55,25.674,33.326,0,,1.01361315712729,,6/27/2016,Apollo 2,CRM150,2214.71,1.80000000000018,24.6,1.022198566,3112.0,3110.2,3111.1,3043.53782409866,3054.6058010639,8.131,8.129,8.13,,,6/23/2016,Apollo,CRM 150,2017.88,24.8,1.022138692,27.4,2793.5,2766.1,2779.80,2719.591795,2717.942804,,,,,,
6708,21U,5/11/2016,2:16 PM,Walton Smith,,54,25.760,30.431,0,,1.01467559050921,,6/27/2016,Apollo 2,CRM150,2214.71,2.90000000000009,24.6,1.020012884,3555.6,3552.7,3554.15,3484.41677276138,3495.48474972661,7.961,7.956,7.9585,,,6/26/2016,Apollo,CRM 150,2017.88,24.8,1.019953776,-1.2,3319.1,3320.3,3319.7,3254.75534013387,3253.106349,,,,,,
6709,CRM150 - TA,,,,,,,33.40,,,,,6/28/2016,Apollo 2,CRM150,2214.71,3.20000000000027,24.3,1.022343729,2255.8,2252.6,2254.20,2204.93356125177,9.77643874822661,8.039,8.035,8.037,,,,,,,,,,,,,,,,,,,,
6710,22U,5/12/2016,12:22 PM,Walton Smith,,57.2b,26.006,35.379,0,,1.01311457716746,,6/28/2016,Apollo 2,CRM150,2214.71,-3.30000000000018,25.15,1.02358377733615,2355.7,2359.0,2357.35,2303.03571841958,2312.81215716781,8.101,8.103,8.102,,,6/23/2016,Apollo,CRM 150,2017.88,24.8,1.023690253,1.7,2108.0,2106.3,2107.15,2058.386308,2056.737317,,,,,,
6711,23U,5/12/2016,2:28 PM,Walton Smith,,57b,25.934,33.184,0,,1.01385679376613,,6/28/2016,Apollo 2,CRM150,2214.71,-0.5,24.55,1.02210584032644,2780.0,2780.5,2780.25,2720.11947325539,2729.89591200362,8.248,8.244,8.246,,,6/23/2016,Apollo,CRM 150,2017.88,24.6,1.022090930,0.1,2425.2,2425.1,2425.15,2372.734096,2371.085105,,,,,,
6712,24U,5/12/2016,4:23 PM,Walton Smith,,54b,26.411,30.385,0,,1.01517634386828,,6/28/2016,Apollo 2,CRM150,2214.71,0.099999999999909,24.9,1.01988956976457,3534.6,3534.5,3534.55,3465.62030320197,3475.3967419502,8.012,8.016,8.014,,,6/23/2016,Apollo,CRM 150,2017.88,24.7,1.019948825,-4.5,3267.0,3271.5,3269.25,3205.307875,3203.658883,,,,,,
6713,1B,5/9/2016,3:35 PM,Walton Smith,,1,26.120,35.730,0,,1.01306864837494,,6/28/2016,Apollo 2,CRM150,2214.71,-4,24.8,1.023955704,2418.4,2422.4,2420.4,2363.77412658637,2373.55056533459,8.274,8.277,8.2755,,,6/26/2016,Apollo,CRM 150,2017.88,24.4,1.024076408,3.7,2065.6,2061.9,2063.75,2015.230489,2013.581497,,,,,,
6714,2B,5/9/2016,3:49 PM,Walton Smith,,2,26.032,36.223,0,,1.01281903427615,,6/28/2016,Apollo 2,CRM150,2214.71,1.90000000000009,24.85,1.024313430,2440.9,2439.0,2439.95,2382.03457034067,2391.8110090889,8.235,8.235,8.235,,,6/23/2016,Apollo,CRM 150,2017.88,24.7,1.024358995,-1.2,2093.9,2095.1,2094.5,2044.69332605987,2043.044335,,,,,,
6715,3B,5/9/2016,4:14 PM,Walton Smith,,3,26.291,36.359,0,,1.01295944338392,,6/28/2016,Apollo 2,CRM150,2214.71,0.400000000000091,24.95,1.024385826,2426.9,2426.5,2426.7,2368.93164436846,2378.70808311669,8.248,8.257,8.2525,,,6/23/2016,Apollo,CRM 150,2017.88,24.8,1.024431534,1.0,2077.8,2076.8,2077.30,2027.758743,2026.109751,,,,,,
6716,4B,5/9/2016,6:46 PM,Walton Smith,,EK_IN,26.282,36.763,0,,1.01279993100688,,6/28/2016,Apollo 2,CRM150,2214.71,2,24.5,1.0248282997349,2388.1,2386.1,2387.10,2329.26823021719,2339.04466896542,8.366,8.361,8.3635,,,6/23/2016,Apollo,CRM 150,2017.88,24.6,1.024798026,1.3,1965.7,1964.4,1965.05,1917.499790,1915.850798,,,,,,
6717,5B,5/9/2016,7:01 PM,Walton Smith,,EK_MID,26.138,36.444,0,,1.01281420547287,,6/28/2016,Apollo 2,CRM150,2214.71,4.40000000000009,24.6,1.024556544,2447.5,2443.1,2445.30,2386.69111369207,2396.4675524403,8.255,8.253,8.254,,,6/26/2016,Apollo,CRM 150,2017.88,24.1,1.024706923,-1.8,2085.3,2087.1,2086.20,2035.899196,2034.250205,,,,,,
6718,6B,5/9/2016,7:15 PM,Walton Smith,,EK_OFF,26.137,36.390,0,,1.01283383764141,,6/28/2016,Apollo 2,CRM150,2214.71,-2.89999999999964,24.7,1.024485369,2440.8,2443.7,2442.25,2383.87982232607,2393.65626107429,8.229,8.23,8.2295,,,6/23/2016,Apollo,CRM 150,2017.88,24.7,1.024485369,1.0,2102.8,2101.8,2102.30,2052.054683,2050.405692,,,,,,
6719,7B,5/9/2016,9:16 PM,Walton Smith,,4,26.343,36.854,0,,1.01281044923673,,6/28/2016,Apollo 2,CRM150,2214.71,1.40000000000009,24.8,1.024806119,2338.0,2336.6,2337.3,2280.72408798403,2290.50052673225,8.345,8.344,8.3445,,,6/23/2016,Apollo,CRM 150,2017.88,24.3,1.024957545,3.3,1915.7,1912.4,1914.05,1867.44320287911,1865.794211,,,,,,
6720,8B,5/9/2016,9:31 PM,Walton Smith,,5,26.246,36.626,0,,1.01282526537516,,6/28/2016,Apollo 2,CRM150,2214.71,-1.79999999999973,25.05,1.02455720563657,2396.8,2398.6,2397.7,2340.23047889286,2350.00691764109,8.347,8.34,8.3435,,,6/23/2016,Apollo,CRM 150,2017.88,24.5,1.024724568,-1.5,1971.5,1973.0,1972.25,1924.663527,1923.014535,,,,,,
6721,9B,5/9/2016,9:47 PM,Walton Smith,,5.5,26.078,36.620,0,,1.0127033043251,,6/28/2016,Apollo 2,CRM150,2214.71,1.09999999999991,25,1.02456797802844,2444.2,2443.1,2443.65,2385.05404463477,2394.830483383,8.321,8.326,8.3235,,,6/26/2016,Apollo,CRM 150,2017.88,24.6,1.024689770,-3.3,2035.5,2038.8,2037.15,1988.065129,1986.416137,,,,,,
6722,10B,5/9/2016,9:58 PM,Walton Smith,,6,25.947,36.406,0,,1.01268727286958,,6/28/2016,Apollo 2,CRM150,2214.71,2.20000000000027,24.75,1.02448229660061,2448.4,2446.2,2447.3,2388.81629103843,2398.59272978665,8.232,8.235,8.2335,,,6/23/2016,Apollo,CRM 150,2017.88,24.6,1.024527782,3.3,2105.4,2102.1,2103.75,2053.385021,2051.736029,,,,,,
6723,11B,5/9/2016,10:13 PM,Walton Smith,,6.5,26.320,36.411,0,,1.01296128203655,,6/28/2016,Apollo 2,CRM150,2214.71,-3.59999999999991,24.95,1.024425161,2442.8,2446.4,2444.60,2386.3138981939,2396.09033694213,8.23,8.23,8.23,,,6/23/2016,Apollo,CRM 150,2017.88,24.7,1.024501262,0.9,2099.2,2098.3,2098.75,2048.557751,2046.908759,,,,,,
6724,12B,5/9/2016,10:59 PM,Walton Smith,,MR,25.979,36.449,0,,1.01269460972797,,6/28/2016,Apollo 2,CRM150,2214.71,-4.69999999999982,24.9,1.024469244,2438.8,2443.5,2441.15,2382.84361890073,2392.62005764896,8.229,8.299,8.264,,,6/23/2016,Apollo,CRM 150,2017.88,24.7,1.024530095,-0.9,2101.6,2102.5,2102.05,2051.72108651274,2050.072095,,,,,,
